parent_directory|object_type|name|size_in_bytes
C:\Users\1\new_project\venv\|File|.gitignore|495
C:\Users\1\new_project\venv\|File|homework_5.py|1605
C:\Users\1\new_project\venv\|File|homework_6.py|1823
C:\Users\1\new_project\venv\|File|homework_6_2.py|2433
C:\Users\1\new_project\venv\|File|homework_6_a.py|406
C:\Users\1\new_project\venv\|File|homework_7_1.py|1546
C:\Users\1\new_project\venv\|File|Homework_7_2.py|1758
C:\Users\1\new_project\venv\|File|Homework_8.py|2433
C:\Users\1\new_project\venv\|File|pyvenv.cfg|163
C:\Users\1\new_project\venv\|File|task_1.py|4042
C:\Users\1\new_project\venv\|File|task_2.py|2175
C:\Users\1\new_project\venv\|File|task_8.csv|198624
C:\Users\1\new_project\venv\|File|task_8.json|412856
C:\Users\1\new_project\venv\|File|task_8.pickle|98547
C:\Users\1\new_project\venv\|Directory|.git|33752
C:\Users\1\new_project\venv\|Directory|Files_folder_7|0
C:\Users\1\new_project\venv\|Directory|Include|0
C:\Users\1\new_project\venv\|Directory|Lib|20528298
C:\Users\1\new_project\venv\|Directory|python_homework_1|24086
C:\Users\1\new_project\venv\|Directory|Scripts|989170
C:\Users\1\new_project\venv\|Directory|__pycache__|4143
C:\Users\1\new_project\venv\.git|File|COMMIT_EDITMSG|13
C:\Users\1\new_project\venv\.git|File|config|423
C:\Users\1\new_project\venv\.git|File|description|73
C:\Users\1\new_project\venv\.git|File|HEAD|21
C:\Users\1\new_project\venv\.git|File|index|625
C:\Users\1\new_project\venv\.git|Directory|hooks|23442
C:\Users\1\new_project\venv\.git|Directory|info|240
C:\Users\1\new_project\venv\.git|Directory|logs|2599
C:\Users\1\new_project\venv\.git|Directory|objects|5988
C:\Users\1\new_project\venv\.git|Directory|refs|328
C:\Users\1\new_project\venv\.git\hooks|File|applypatch-msg.sample|478
C:\Users\1\new_project\venv\.git\hooks|File|commit-msg.sample|896
C:\Users\1\new_project\venv\.git\hooks|File|fsmonitor-watchman.sample|4655
C:\Users\1\new_project\venv\.git\hooks|File|post-update.sample|189
C:\Users\1\new_project\venv\.git\hooks|File|pre-applypatch.sample|424
C:\Users\1\new_project\venv\.git\hooks|File|pre-commit.sample|1643
C:\Users\1\new_project\venv\.git\hooks|File|pre-merge-commit.sample|416
C:\Users\1\new_project\venv\.git\hooks|File|pre-push.sample|1374
C:\Users\1\new_project\venv\.git\hooks|File|pre-rebase.sample|4898
C:\Users\1\new_project\venv\.git\hooks|File|pre-receive.sample|544
C:\Users\1\new_project\venv\.git\hooks|File|prepare-commit-msg.sample|1492
C:\Users\1\new_project\venv\.git\hooks|File|push-to-checkout.sample|2783
C:\Users\1\new_project\venv\.git\hooks|File|update.sample|3650
C:\Users\1\new_project\venv\.git\info|File|exclude|240
C:\Users\1\new_project\venv\.git\logs|File|HEAD|1042
C:\Users\1\new_project\venv\.git\logs|Directory|refs|1557
C:\Users\1\new_project\venv\.git\logs\refs|Directory|heads|1009
C:\Users\1\new_project\venv\.git\logs\refs|Directory|remotes|548
